strategy,authors,year,source_type,indication,population,comparator,country,currency,currency_year,perspective,time_horizon,discount_rate,outcome_measure,cost,effect,n,scenario,reported_icer,threshold_referenced,conclusion
Conservative management,Hawker GA et al.,2006,journal,End-stage hip osteoarthritis,Adults aged 55+ with symptomatic hip OA,No active intervention,Canada,CAD,2004,payer,10,3,qaly,9800,8.2,412,base_case,,Not specified,Analgesic and physiotherapy management is low-cost but yields substantially fewer QALYs than surgical alternatives.
Conservative management,Dieppe P et al.,2012,journal,End-stage hip osteoarthritis,Patients on surgical waiting list opting for continued medical management,No active intervention,United Kingdom,GBP,2010,health_system,10,3.5,qaly,6500,9.0,287,base_case,,Not specified,Continued conservative management provides moderate quality of life; patients report persistent pain and functional limitation.
Conservative management,Losina E et al.,2009,journal,End-stage hip osteoarthritis,US adults with severe hip OA declining or ineligible for surgery,No active intervention,United States,USD,2007,payer,10,3,qaly,12400,8.5,534,base_case,,Not specified,Non-surgical management incurs ongoing costs with limited QALY accumulation over a 10-year horizon.
Conservative management,Ackerman IN et al.,2014,journal,End-stage hip osteoarthritis,Community-dwelling adults with clinically diagnosed hip OA,No active intervention,Australia,AUD,2012,health_system,10,5,qaly,11200,8.8,318,base_case,,Not specified,Conservative pathway generates acceptable QALYs at moderate cost in the Australian health system setting.
Conservative management,Teirlinck CH et al.,2016,journal,End-stage hip osteoarthritis,Adults with hip OA managed in primary and secondary care,No active intervention,Netherlands,EUR,2014,payer,10,4,qaly,7800,9.2,241,base_case,,Not specified,Exercise-based conservative management is the least costly pathway but accumulates fewer QALYs than surgical care over 10 years.
Primary total hip arthroplasty,Räsänen P et al.,2007,journal,End-stage hip osteoarthritis,Adults aged 55–75 requiring primary THA,Conservative management,Finland,EUR,2006,payer,10,5,qaly,19500,12.8,428,base_case,,Not specified,Primary THA is cost-effective at Finnish WTP thresholds and provides substantially more QALYs than conservative care.
Primary total hip arthroplasty,Blom A,2020,journal,End-stage hip osteoarthritis,Adult patients requiring primary hip replacement,Conservative management,Netherlands,EUR,2019,health_system,10,3,qaly,21200,13.1,850,base_case,,Not specified,Primary hip replacement generates high QALY gains and is cost-effective across European health system thresholds.
Primary total hip arthroplasty,Jenkins PJ et al.,2013,journal,End-stage hip osteoarthritis,Adults awaiting primary THA in NHS setting,Conservative management,United Kingdom,GBP,2011,health_system,10,3.5,qaly,17800,12.5,540,base_case,,NICE threshold (£20 000–30 000/QALY),Well within NICE cost-effectiveness threshold; primary THA dominates prolonged conservative management.
Primary total hip arthroplasty,Marsh JD et al.,2016,journal,End-stage hip osteoarthritis,Adults with moderate-to-severe hip OA,Non-operative management,Canada,CAD,2014,payer,10,5,qaly,24500,13.0,389,base_case,,Not specified,Cost-effective at Canadian WTP of CAD 50 000/QALY with substantial QALY gains over conservative pathway.
Primary total hip arthroplasty,Lavernia CJ et al.,2004,journal,End-stage hip osteoarthritis,Adults with debilitating hip OA,Conservative management,United States,USD,2003,payer,lifetime,3,qaly,22800,12.2,234,base_case,,Not specified,Cost-effective at US WTP threshold of $50 000/QALY over a lifetime horizon.
Primary total hip arthroplasty,Rudy HL et al.,2018,journal,End-stage hip osteoarthritis — elevated dislocation risk,Adults undergoing THA at elevated dislocation risk,Standard conventional THA implants,United States,USD,2017,societal,10,3,qaly,38500,13.4,156,base_case,,Not specified,Dual-mobility THA — high implant cost premium with marginal additional QALY gain. Consider excluding as outlier.
Revision total hip arthroplasty,Khoshbin A et al.,2020,journal,Failed primary total hip arthroplasty,Adults requiring revision THA stratified by age and sex,Primary THA retained without revision,United Kingdom,GBP,2018,health_system,10,3.5,qaly,32000,13.4,892,base_case,,Not specified,Revision THA restores function in patients with failed primary implants; ICER substantially higher than primary THA.
Revision total hip arthroplasty,Burns AWR et al.,2006,journal,Failed primary total hip arthroplasty,Patients requiring revision due to aseptic loosening,Primary THA retained without revision,Canada,USD,2004,health_system,10,3,qaly,38500,13.6,310,base_case,,Not specified,Revision arthroplasty is costly but provides reasonable QALY outcomes in appropriately selected patients.
Revision total hip arthroplasty,Gautschi N et al.,2025,journal,Failed primary total hip arthroplasty,Adults undergoing revision THA in Swiss healthcare system,Primary THA retained without revision,Switzerland,EUR,2019,health_system,10,3,qaly,42100,13.5,280,base_case,,Not specified,Revision THA remains resource-intensive; authors note limited marginal QALY benefit versus retained primary implant.
Revision total hip arthroplasty,Kasch R et al.,2016,journal,Aseptic loosening following primary THA,Patients requiring two-stage revision for aseptic failure,Primary THA retained without revision,Germany,EUR,2013,payer,10,3,qaly,36800,13.3,195,base_case,,Not specified,Aseptic revision THA is costly but provides sustained functional improvement over continued non-surgical management.
Revision total hip arthroplasty,Kasch R et al.,2017,journal,Periprosthetic joint infection following primary THA,Patients requiring two-stage septic revision THA,Primary THA retained without revision,Germany,USD,2015,health_system,10,3,qaly,68000,12.8,145,other_sensitivity,,Not specified,Septic revision THA carries substantially higher costs and lower QALY gains due to infection complications. Consider excluding as outlier.
